Heel,Midfoot.Lat,Toe.Lat,Toe.Tip,Toe.Med,Midfoot.Sup
0.13964746,0.08335941,0.04080999,0.03686419,0.05519088,0.09650001
0.06283051,0.06944429,0.05858278,0.08758495,0.0799868,0.09836611
0.154525,0.08903912,0.04320997,0.03487677,0.05613404,0.10070657
0.06451895,0.0653956,0.0506802,0.07715567,0.07206855,0.09418754
0.1720828,0.0956107,0.04600223,0.03235381,0.05711033,0.10544741
0.06602262,0.06223146,0.04441247,0.06883217,0.06579415,0.09091435
0.19284437,0.10360445,0.04978555,0.029644,0.05846155,0.11100565
0.06671374,0.0595794,0.03955773,0.06251246,0.06094539,0.08818978
0.21591102,0.11275455,0.05464895,0.02716735,0.06040689,0.11724772
0.066983,0.0577373,0.03631383,0.05829398,0.05765723,0.0862516
0.23999388,0.12310763,0.06115861,0.02591921,0.0635123,0.12423029
0.06682072,0.05618652,0.03389761,0.05538214,0.055358,0.08478298
0.26234007,0.13409379,0.06938303,0.02704719,0.06823026,0.13176782
0.06685681,0.0553636,0.03255271,0.05376431,0.05411943,0.08404454
0.28179469,0.14566049,0.07938567,0.03126607,0.07492615,0.14010302
0.06660604,0.0545679,0.03147728,0.05265506,0.05325103,0.08344207
0.29705198,0.15700865,0.09014177,0.03820708,0.08307687,0.14891875
0.06664409,0.05419384,0.03087756,0.05199065,0.05276876,0.08317491
0.30852052,0.16750201,0.10052442,0.04660641,0.0917582,0.15776523
0.06663262,0.05385326,0.03037069,0.05146984,0.05239348,0.0829575
0.31607654,0.17607893,0.10920833,0.05484735,0.09965541,0.16558543
0.06700651,0.0537915,0.03004253,0.05099627,0.05211241,0.08293148
0.3196221,0.18185938,0.11524034,0.06161551,0.10570397,0.17138936
0.0670496,0.05358778,0.02969881,0.05059977,0.05182502,0.08277768
0.31928337,0.18442538,0.11820211,0.06626715,0.1094346,0.17470893
0.06731454,0.05351647,0.0294088,0.05016106,0.05153489,0.08269737
0.31522265,0.18374366,0.11808505,0.06855296,0.11065764,0.17533603
0.0676238,0.05347259,0.02912123,0.04967857,0.05120843,0.08260516
0.30720126,0.17976871,0.11491653,0.06847631,0.10931271,0.17314182
0.06801746,0.05347928,0.02886103,0.04920457,0.05090544,0.08255865
0.29552776,0.1729695,0.10923179,0.06646409,0.10577206,0.16843908
0.06829827,0.05348788,0.02864672,0.04874288,0.05056397,0.08243258
0.28042118,0.16384754,0.1016285,0.06310647,0.10053309,0.16163442
0.06872985,0.0534967,0.02834065,0.04813776,0.05014572,0.08231758
0.26240256,0.15317608,0.09296969,0.05917004,0.09427786,0.15332806
0.06938712,0.0535882,0.02803474,0.04749638,0.04975456,0.08230824
0.24191941,0.14170508,0.0841261,0.05556251,0.08781568,0.14421296
0.07016557,0.0538386,0.02790322,0.04702007,0.04951186,0.0824327
0.2196649,0.1299501,0.07563326,0.05286411,0.08178604,0.13490518
